name,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories
Simple White Cake,https://www.allrecipes.com/recipe/17481/simple-white-cake/,desserts,SCOTTOSMAN,"This cake was sent home from our children's school. It is the simplest, great tasting cake I've ever made. Great to make with the kids, especially for cupcakes.",4.22,4065,3263,1 cup white sugar , ? cup butter , 2  eggs , 2 teaspoons vanilla extract , 1 ? cups all-purpose flour , 1 ? teaspoons baking powder , ? cup milk,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan or line a muffin pan with paper liners. In a medium bowl, cream together the sugar and butter. Beat in the eggs, one at a time, then stir in the vanilla. Combine flour and baking powder, add to the creamed mixture and mix well. Finally stir in the milk until batter is smooth. Pour or spoon batter into the prepared pan. Bake for 30 to 40 minutes in the preheated oven. For cupcakes, bake 20 to 25 minutes. Cake is done when it springs back to the touch."
Joy's Easy Banana Bread,https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/,breakfast-and-brunch,Joy,"This easy banana bread recipe is quick to prepare, and everyone always comes back for seconds!",4.8,2206,1585,"3  ripe bananas, mashed ; 1 cup white sugar ; 1  egg ; ? cup melted butter ; 1 ? cups all-purpose flour ; 1 teaspoon baking soda ; 1 teaspoon salt","Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan. Combine bananas, sugar, egg, and butter together in a bowl. Mix flour and baking soda together in a separate bowl; stir into banana mixture until batter is just mixed. Stir salt into batter. Pour batter into the prepared loaf pan. Bake in the preheated oven until a toothpick inserted in the center of the bread comes out clean, about 1 hour.",15 mins,1 hr,1 hr 15 mins,10,1 9x5-inch loaf,225
Tortellini Pesto Salad,https://www.allrecipes.com/recipe/41490/tortellini-pesto-salad/,salad,Jenny Saunders,Wonderful pasta salad. So different from the Italian dressing pasta salads. Very hearty side dish or main dish for lunch. Crunchy veggies and rich pesto sauce.,4.64,103,69,"1 (9 ounce) package cheese tortellini ; 1 small red bell pepper, julienned ; ? cup broccoli florets, blanched ; ? cup shredded carrots ; ? cup pitted green olives ; 1 clove garlic, chopped ; ? cup mayonnaise ; ? cup prepared basil pesto ; ? cup milk ; 2 tablespoons grated Parmesan cheese ; 1 tablespoon olive oil ; 1 tablespoon distilled white vinegar ; 1 bunch fresh spinach leaves","Bring a large pot of lightly salted water to a boil. Place tortellini in the pot, and cook for 7 to 8 minutes, until al dente. Drain, and cool. In a large bowl, mix the cooked tortellini, red bell pepper, broccoli, carrots, olives, and garlic. In a separate bowl, stir together the mayonnaise, pesto, milk, Parmesan cheese, olive oil, and vinegar. Pour over the tortellini and vegetables, and gently toss to coat. Cover, and place in the refrigerator 1 hour, until chilled. Serve over spinach leaves.",,,,6,6 servings,382.8
Fried Rice Restaurant Style,https://www.allrecipes.com/recipe/79543/fried-rice-restaurant-style/,main-dish,jostrander,"A quick fried rice like you get at your favorite Chinese restaurant. A couple of eggs, baby carrots, peas and soy sauce is all you need.",4.37,1616,1127,"2 cups enriched white rice ; 4 cups water ; ? cup chopped baby carrots ; ? cup frozen green peas ; 2 tablespoons vegetable oil ; 2  eggs ;   soy sauce to taste ; 2 tablespoons sesame oil, to taste","In a saucepan, combine rice and water. Bring to a boil. Reduce heat, cover, and simmer for 20 minutes. In a small saucepan, boil carrots in water about 3 to 5 minutes. Drop peas into boiling water, and drain. Heat wok over high heat. Pour in oil, then stir in carrots and peas; cook about 30 seconds. Crack in eggs, stirring quickly to scramble eggs with vegetables. Stir in cooked rice. Shake in soy sauce, and toss rice to coat. Drizzle with sesame oil, and toss again.",15 mins,30 mins,45 mins,8,8 servings,261.2
Tres Leches (Milk Cake),https://www.allrecipes.com/recipe/7399/tres-leches-milk-cake/,world-cuisine,Stephanie Watts,"This cake is made with three layers: Cake, filling, and topping.  There are 4 types of milk in the filling and topping (whole milk, condensed milk, evaporated milk, and heavy cream).  This is an excellent cake for milk lovers!",4.43,1763,1333,1 ? cups all-purpose flour , 1 teaspoon baking powder , ? cup unsalted butter , 1 cup white sugar , 5  eggs , ? teaspoon vanilla extract , 2 cups whole milk , 1 (14 ounce) can sweetened condensed milk 
Baked Pork Chops in Mushroom Sauce,https://www.allrecipes.com/recipe/281175/baked-pork-chops-in-mushroom-sauce/,main-dish,Bobby Alexander,These easy-to-fix pork chops are deliciously tender with wonderful flavor. A perfect meal for those busy afternoons when you want a quick meal that tastes like you slaved all day over the stove. Serve with rice or mashed potatoes.,3.8,20,18,"6 (4 ounce) pork loin chops ; 1  olive oil cooking spray ; 1 teaspoon garlic powder ; ? teaspoon paprika ; ? teaspoon chili powder ; 1 (26.5 ounce) can condensed cream of mushroom soup ; 1 (14.5 ounce) can diced tomatoes ; 1 medium sweet onion (such as Vidalia?), thinly sliced","Preheat the oven to 350 degrees F (175 degrees C). Heat a cast iron skillet over medium-high heat. Spray pork chops with cooking spray and season with garlic powder, paprika, and chili powder. Brown chops in the hot skillet, turning frequently, until lightly browned on both sides, 5 to 8 minutes total. Transfer to a casserole or baking dish. Mix mushroom soup and diced tomatoes together in a large bowl. Pour over pork chops and place onion slices on top. Cover the pan tightly with aluminum foil. Bake in the preheated oven for 40 minutes. Remove foil and continue to bake until pork is tender, 5 to 10 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).",10 mins,50 mins,1 hr,6,6 servings,230.5
To Die For Blueberry Muffins,https://www.allrecipes.com/recipe/6865/to-die-for-blueberry-muffins/,bread,Colleen,"These muffins are extra large and yummy with the sugary-cinnamon crumb topping. I usually double the recipe and fill the muffin cups just to the top edge for a wonderful extra-generously-sized deli style muffin.  Add extra blueberries too, if you want!",4.64,14364,10733,"1 ? cups all-purpose flour ; ? cup white sugar ; ? teaspoon salt ; 2 teaspoons baking powder ; ? cup vegetable oil ; 1  egg ; ? cup milk, or more as needed ; 1 cup fresh blueberries ; ? cup white sugar ; ? cup all-purpose flour ; ? cup butter, cubed ; 1 ? teaspoons ground cinnamon","Preheat oven to 400 degrees F (200 degrees C). Grease muffin cups or line with muffin liners. Combine 1 1/2 cups flour, 3/4 cup sugar, salt and baking powder. Place vegetable oil into a 1 cup measuring cup; add the egg and add enough milk to reach the 1-cup mark. Mix this with flour mixture. Fold in blueberries. Fill muffin cups right to the top, and sprinkle with crumb topping mixture. To Make Crumb Topping: Mix together 1/2 cup sugar, 1/3 cup flour, 1/4 cup butter,  and 1 1/2 teaspoons cinnamon. Mix with fork, and sprinkle over muffins before baking. Bake for 20 to 25 minutes in the preheated oven, or until done.",15 mins,25 mins,40 mins,8,8 large muffins,383.1
Whipped Cream,https://www.allrecipes.com/recipe/18352/whipped-cream/,side-dish,Paula,How to make basic whipped cream. For best results make sure whisk and bowl are ice cold.,4.62,1169,840,1 cup heavy cream , 1 teaspoon vanilla extract , 1 tablespoon confectioners' sugar,"In a large bowl, whip cream until stiff peaks are just about to form. Beat in vanilla and sugar until peaks form. Make sure not to over-beat, cream will then become lumpy and butter-like.",5 mins,,5 mins,16
Buffalo Chicken Wing Sauce,https://www.allrecipes.com/recipe/219109/buffalo-chicken-wing-sauce/,side-dish,Chef John,"If you know someone from Buffalo, they know someone who told them the secret ingredients to the Anchor Bar's famous Buffalo chicken wings. I know people from Buffalo. This is my version, as described to me many years ago, over almost as many beers.",4.71,823,593,? cup hot pepper sauce (such as Frank's RedHot?) , ? cup cold unsalted butter , 1 ? tablespoons white vinegar , ? teaspoon Worcestershire sauce , ? teaspoon cayenne pepper , ? teaspoon garlic powder ,   salt to taste,"Combine the hot sauce, butter, vinegar, Worcestershire sauce, cayenne pepper, garlic powder, and salt in a pot and place over medium heat. Bring to a simmer while stirring with a whisk. As soon as the liquid begins to bubble on the sides of the pot, remove from heat, stir with the whisk, and set aside for use."
Homemade Chicken Soup,https://www.allrecipes.com/recipe/8814/homemade-chicken-soup/,soups-stews-and-chili,Jill,"Homemade chicken soup - but you don't have to be sick to deserve or enjoy it - you do, so do! Good for body and soul!",4.53,253,200,"1 (3 pound) whole chicken ; 4  carrots, halved ; 4 stalks celery, halved ; 1 large onion, halved ;   water to cover ;   salt and pepper to taste ; 1 teaspoon chicken bouillon granules  (Optional)","Put the chicken, carrots, celery and onion in a large soup pot and cover with cold water. Heat and simmer, uncovered, until the chicken meat falls off of the bones (skim off foam every so often). Take everything out of the pot. Strain the broth. Pick the meat off of the bones and chop the carrots, celery and onion. Season the broth with salt, pepper and chicken bouillon to taste, if desired. Return the chicken, carrots, celery and onion to the pot, stir together, and serve.",,,,10,10 servings,151.7
Fajita Seasoning,https://www.allrecipes.com/recipe/232967/fajita-seasoning/,world-cuisine,Traci Meeds,This is a great recipe to make your own fajita seasoning. No bouillon cubes means this is perfect for vegetarians too!  Make up a larger batch and store in an airtight container for future use.,4.76,1060,707,1 tablespoon cornstarch , 2 teaspoons chili powder , 1 teaspoon salt , 1 teaspoon paprika , 1 teaspoon white sugar , ? teaspoon onion powder , ? teaspoon garlic powder , ? teaspoon cayenne pepper 
To Die For Fettuccine Alfredo,https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/,main-dish,ERINMARIE,"This is a recipe that I created by modifying my mother's recipe. My boyfriend is a fettuccine Alfredo connoisseur and he scrapes the pan every time! I get nothing but rave reviews when I make this dish. I must warn you, this recipe is not for the health conscious. Enjoy!",4.61,2180,1545,24 ounces dry fettuccini pasta , 1 cup butter , ? pint heavy cream ,   salt and pepper to taste , 1 dash garlic salt , ? cup grated Romano cheese , ? cup grated Parmesan cheese,"Bring a large pot of lightly salted water to a boil. Add fettuccini and cook for 8 to 10 minutes or until al dente; drain. In a large saucepan, melt butter into cream over low heat. Add salt, pepper and garlic salt.  Stir in cheese over medium heat until melted; this will thicken the sauce. Add pasta to sauce. Use enough of the pasta so that all of the sauce is used and the pasta is thoroughly coated. Serve immediately."
The Best Meatloaf I've Ever Made,https://www.allrecipes.com/recipe/74360/the-best-meatloaf-ive-ever-made/,main-dish,sillyliltracy,"When I was growing up, my mom never ever made meatloaf and I always wanted to try it - I finally tried it at a restaurant and loved it. When I moved out on my own I started experimenting with different recipes and creating my own version. I finally came up with the best meatloaf I have ever made, and I wanted to share it.",4.52,991,763,"1 tablespoon butter ; ? cup minced onion ; 2 cloves garlic, minced ; 1 ? teaspoons salt ; 1 ? teaspoons freshly ground black pepper ; 2 pounds extra-lean ground beef ; 3 slices bread, toasted and crumbled ; 7  buttery round crackers, crushed ; 1  egg, lightly beaten ; 3 ? tablespoons sour cream ; 1 ? tablespoons Worcestershire sauce ; 1 (15 ounce) can tomato sauce, divided ; ? cup milk  (Optional); 3 tablespoons ketchup","Preheat oven to 350 degrees F (175 degrees C). Melt the butter in a skillet over medium heat, and cook the onion and garlic 5 minutes, until onion is tender. Remove from heat, and season with salt and pepper. In a large bowl, mix the onion and garlic, beef, crumbled bread, crushed crackers, egg, sour cream, Worcestershire sauce, and 1/2 can tomato sauce. Gradually stir in the milk 1 teaspoon at a time until mixture is moist, but not soggy. Transfer the mixture to a 5x9 inch loaf pan. Bake uncovered in the preheated oven 40 minutes. Increase oven temperature to 400 degrees F (200 degrees C), and continue baking 15 minutes, to an internal temperature of 160 degrees F (70 degrees C). In a small bowl, mix the remaining tomato sauce and ketchup. Pour over the top of the meatloaf, and continue baking 10 minutes.",15 mins,1 hr 10 mins,1 hr 25 mins,12,12 servings,212.6
Buttery Garlic Green Beans,https://www.allrecipes.com/recipe/230103/buttery-garlic-green-beans/,side-dish,LookWhatsCooking,"Only fresh green beans and garlic will do for this easy, healthy, and flavorful side dish.",4.7,690,396,"1 pound fresh green beans, trimmed and snapped in half ; 3 tablespoons butter ; 3 cloves garlic, minced ; 2 pinches lemon pepper ;   salt to taste","Place green beans into a large skillet and cover with water; bring to a boil. Reduce heat to medium-low and simmer until beans start to soften, about 5 minutes. Drain water. Add butter to green beans; cook and stir until butter is melted, 2 to 3 minutes. Cook and stir garlic with green beans until garlic is tender and fragrant, 3 to 4 minutes. Season with lemon pepper and salt.",10 mins,10 mins,20 mins,4,4 servings,115.5
Jamie's Sweet and Easy Corn on the Cob,https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/,side-dish,heatherjane,"My mother-in-law gave me this quick and easy recipe for the sweetest, tastiest corn cobs!",4.75,445,307,"2 tablespoons white sugar ; 1 tablespoon lemon juice ; 6 ears corn on the cob, husks and silk removed","Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice, dissolving the sugar. Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let the corn cook in the hot water until tender, about 10 minutes.",5 mins,10 mins,15 mins,6,6 servings,94.2
"Best Big, Fat, Chewy Chocolate Chip Cookie",https://www.allrecipes.com/recipe/25037/best-big-fat-chewy-chocolate-chip-cookie/,desserts,ELIZABETHBH,"These cookies are the pinnacle of perfection! If you want a big, fat, chewy cookie like the kind you see at bakeries and specialty shops, then these are the cookies for you!",4.63,12133,9316,"2 cups all-purpose flour ; ? teaspoon baking soda ; ? teaspoon salt ; ? cup unsalted butter, melted ; 1 cup packed brown sugar ; ? cup white sugar ; 1 tablespoon vanilla extract ; 1  egg ; 1  egg yolk ; 2 cups semisweet chocolate chips","Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper. Sift together the flour, baking soda and salt; set aside. In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart. Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely.",10 mins,15 mins,40 mins,18,1 1/2 dozen,284.7
Abuela's Picadillo,https://www.allrecipes.com/recipe/255660/abuelas-picadillo/,world-cuisine,MarieSoler,"This is my grandmother's Cuban picadillo (ground beef hash/chili) recipe which is usually served with white rice, beans and plantains. Picadillo also goes great with mashed potatoes and can be made without the squash. This dish is a favorite at home so I usually make 2 pounds to have leftovers for making empanadas (meat pies) the next day. Picadillo also freezes well. Of course my kids say this is the best picadillo they've ever had and I have to agree!",4.64,28,16,"2 pounds lean ground beef ; ? cup olive oil ; ?  onion, chopped ; ?  green bell pepper, chopped ; 2 tablespoons minced garlic ; 2 (8 ounce) cans tomato sauce ; 2 cups water ; ? cup red cooking wine ; 3 tablespoons hot sauce (such as Louisiana?) ; 1 (1.41 ounce) package sazon seasoning (such as Badia? Tropical?) ; 1 tablespoon chopped fresh parsley ; ? teaspoon garlic powder ; ? teaspoon onion powder ; ? teaspoon ground cumin ; ? teaspoon ground black pepper ; ? teaspoon ground bay leaf ; 3 ounces Spanish-style olives ; 1 teaspoon salt, or to taste ; 1 small butternut squash, peeled and cut into cubes","Cook and stir ground beef in a large stockpot until browned, 5 to 10 minutes. Drain grease. Heat olive oil in small skillet over medium heat. Add onion, green bell pepper, and garlic; cook and stir until fragrant, 2 to 3 minutes. Stir into beef in the stockpot. Pour tomato sauce, water, cooking wine, and hot sauce into the stockpot. Stir in sazon seasoning, parsley, garlic powder, onion powder, cumin, pepper, and bay leaf. Bring to a boil; reduce heat to low and simmer picadillo, uncovered, until slightly thickened, about 10 minutes. Split olives in half with your fingers and stir into the picadillo. Add squash. Simmer until liquid reduces but picadillo is not dry, 45 to 60 minutes. Season with salt.",15 mins,1 hr 7 mins,1 hr 22 mins,8,8 servings,377.6
Blended Baked Oats,https://www.allrecipes.com/recipe/283660/blended-baked-oats/,uncategorized,Tammy Lynn,"Who says eating your morning oatmeal has to be boring? Try these blended baked oats made with banana, egg, and almond milk. A really ripe banana adds sweetness. It reminds me of a muffin. The flavor possibilities are endless, but I've included my favorites in the footnotes. You can leave out the egg, but it won't be as fluffy.",0,0,0,cooking spray , 1 cup rolled oats , 1 large ripe banana , 1 large egg , 1 teaspoon baking powder , ? teaspoon salt , ? cup almond milk , 2 tablespoons maple syrup (or sweetener of your choice) 
Buffalo Chicken Dip,https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/,appetizers-and-snacks,NUNPUNCH,"This tangy, creamy dip tastes just like Buffalo chicken wings. It's best served hot with crackers and celery sticks. Everyone loves the results!",4.71,5058,3628,"2 (10 ounce) cans chunk chicken, drained ; 2 (8 ounce) packages cream cheese, softened ; 1 cup Ranch dressing ; ? cup pepper sauce (such as Frank's Red Hot?) ; 1 ? cups shredded Cheddar cheese ; 1 bunch celery, cleaned and cut into 4 inch pieces ; 1 (8 ounce) box chicken-flavored crackers","Heat chicken and hot sauce in a skillet over medium heat, until heated through. Stir in cream cheese and ranch dressing. Cook, stirring until well blended and warm. Mix in half of the shredded cheese, and transfer the mixture to a slow cooker. Sprinkle the remaining cheese over the top, cover, and cook on Low setting until hot and bubbly. Serve with celery sticks and crackers.",5 mins,40 mins,45 mins,20,5 cups,283.6
Fluffy Pancakes,https://www.allrecipes.com/recipe/162760/fluffy-pancakes/,breakfast-and-brunch,kris,"Tall and fluffy.  These pancakes are just right.  Topped with strawberries and whipped cream, they are impossible to resist.",4.82,16778,11851,"? cup milk ; 2 tablespoons white vinegar ; 1 cup all-purpose flour ; 2 tablespoons white sugar ; 1 teaspoon baking powder ; ? teaspoon baking soda ; ? teaspoon salt ; 1  egg ; 2 tablespoons butter, melted ;   cooking spray","Combine milk with vinegar in a medium bowl and set aside for 5 minutes to ""sour"". Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into ""soured"" milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone. Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.",10 mins,10 mins,25 mins,4,8 pancakes,230.4
Baked Kale Chips,https://www.allrecipes.com/recipe/176957/baked-kale-chips/,appetizers-and-snacks,LucyDelRey,"These are a low calorie nutritious snack. Like potato chips, you cannot stop at just eating one. They are great for parties and a good conversation topic.",4.48,2602,1942,1 bunch kale , 1 tablespoon olive oil , 1 teaspoon seasoned salt,"Preheat an oven to 350 degrees F (175 degrees C). Line a non insulated cookie sheet with parchment paper. With a knife or kitchen shears carefully remove the leaves from the thick stems and tear into bite size pieces. Wash and thoroughly dry kale with a salad spinner. Drizzle kale with olive oil and sprinkle with seasoning salt. Bake until the edges brown but are not burnt, 10 to 15 minutes.",10 mins,10 mins,20 mins,6
Vietnamese Fresh Spring Rolls,https://www.allrecipes.com/recipe/24239/vietnamese-fresh-spring-rolls/,appetizers-and-snacks,Anonymous,"These spring rolls are a refreshing change from the usual fried variety, and have become a family favorite.  They are great as a cool summertime appetizer, and are delicious dipped in one or both of the sauces.",4.64,744,518,"2 ounces rice vermicelli ; 8  rice wrappers (8.5 inch diameter) ; 8 large cooked shrimp - peeled, deveined and cut in half ; 1 ? tablespoons chopped fresh Thai basil ; 3 tablespoons chopped fresh mint leaves ; 3 tablespoons chopped fresh cilantro ; 2 leaves lettuce, chopped ; 4 teaspoons fish sauce ; ? cup water ; 2 tablespoons fresh lime juice ; 1 clove garlic, minced ; 2 tablespoons white sugar ; ? teaspoon garlic chili sauce ; 3 tablespoons hoisin sauce ; 1 teaspoon finely chopped peanuts","Bring a medium saucepan of water to boil. Boil rice vermicelli 3 to 5 minutes, or until al dente, and drain. Fill a large bowl with warm water. Dip one wrapper into the hot water for 1 second to soften. Lay wrapper flat. In a row across the center, place 2 shrimp halves, a handful of vermicelli, basil, mint, cilantro and lettuce, leaving about 2 inches uncovered on each side. Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with the lettuce. Repeat with remaining ingredients. In a small bowl, mix the fish sauce, water, lime juice, garlic, sugar and chili sauce. In another small bowl, mix the hoisin sauce and peanuts. Serve rolled spring rolls with the fish sauce and hoisin sauce mixtures.",45 mins,5 mins,50 mins,8,8 spring rolls,82.4
Simple Roasted Butternut Squash,https://www.allrecipes.com/recipe/229733/simple-roasted-butternut-squash/,side-dish,MChele,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy.",4.72,1330,911,"1  butternut squash - peeled, seeded, and cut into 1-inch cubes ; 2 tablespoons olive oil ; 2 cloves garlic, minced ;   salt and ground black pepper to taste","Preheat oven to 400 degrees F (200 degrees C). Toss butternut squash with olive oil and garlic in a large bowl. Season with salt and black pepper. Arrange coated squash on a baking sheet. Roast in the preheated oven until squash is tender and lightly browned, 25 to 30 minutes.",15 mins,25 mins,40 mins,4,4 servings,176.8
The Best Lemon Bars,https://www.allrecipes.com/recipe/10294/the-best-lemon-bars/,desserts,Patty Schenck,"Tart, rich and perfection, all rolled into one! Wow your friends with this simple recipe.  Hint: No Substitutions!",4.53,3451,2506,"1 cup butter, softened ; ? cup white sugar ; 2 cups all-purpose flour ; 4  eggs ; 1 ? cups white sugar ; ? cup all-purpose flour ; 2  lemons, juiced","Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, blend together softened butter, 2 cups flour and 1/2 cup sugar.  Press into the bottom of an ungreased 9x13 inch pan. Bake for 15 to 20 minutes in the preheated oven, or until firm and golden. In another bowl, whisk together the remaining 1 1/2 cups sugar and 1/4 cup flour. Whisk in the eggs and lemon juice. Pour over the baked crust. Bake for an additional 20 minutes in the preheated oven. The bars will firm up as they cool. For a festive tray, make another pan using limes instead of lemons and adding a drop of green food coloring to give a very pale green. After both pans have cooled, cut into uniform 2 inch squares and arrange in a checker board fashion.",15 mins,40 mins,55 mins,36,1 - 9x13 inch pan,125.8
Banana Muffins II,https://www.allrecipes.com/recipe/42719/banana-muffins-ii/,bread,ABI_GODFREY,These delicious banana muffins are easy for kids to make.,4.79,4675,3615,"1 ? cups all-purpose flour ; 1 teaspoon baking powder ; 1 teaspoon baking soda ; ? teaspoon salt ; 3 large bananas, mashed ; ? cup white sugar ; 1  egg ; ? cup butter, melted","Preheat oven to 350 degrees F (175 degrees C). Coat muffin pans with non-stick spray, or use paper liners. Sift together the flour, baking powder, baking soda, and salt; set aside. Combine bananas, sugar, egg, and melted butter in a large bowl. Fold in flour mixture, and mix until smooth. Scoop into muffin pans. Bake in preheated oven. Bake mini muffins for 10 to 15 minutes, and large muffins for 25 to 30 minutes. Muffins will spring back when lightly tapped.",10 mins,25 mins,35 mins,12,"12 muffins, or 48 mini muffins",186.8
Quick and Easy Brownies,https://www.allrecipes.com/recipe/9599/quick-and-easy-brownies/,desserts,C. Nelson,Takes about 45 minutes to make.,4.42,1916,1508,"1 cup butter, melted ; 2 cups white sugar ; ? cup cocoa powder ; 1 teaspoon vanilla extract ; 4  eggs ; 1 ? cups all-purpose flour ; ? teaspoon baking powder ; ? teaspoon salt ; ? cup walnut halves","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch pan. Combine the melted butter, sugar, cocoa powder, vanilla, eggs, flour, baking powder, and salt. Spread the batter into the prepared pan. Decorate with walnut halves, if desired. Bake in preheated oven for 20 to 30 minutes or until a toothpick inserted in the center comes out with crumbs, not wet. Cool on wire rack.",15 mins,20 mins,35 mins,20,20 bars,229
Basic Cream Cheese Frosting,https://www.allrecipes.com/recipe/8379/basic-cream-cheese-frosting/,desserts,JJ,"This recipe delivers a basic cream cheese frosting using just butter, cream cheese, confectioners' sugar, and vanilla.",4.7,1599,1216,"? cup butter, softened ; 8 ounces cream cheese ; 4 cups confectioners' sugar ; 2 teaspoons vanilla extract",Beat softened butter and cream cheese until well blended. Add powdered sugar and vanilla. Beat until creamy.,,,,12,2 cups,291.5
Sloppy Joes II,https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/,main-dish,Tamara,This is the recipe my mother used for sloppy joes and it always gets compliments!,4.67,7626,5399,1 pound lean ground beef , ? cup chopped onion , ? cup chopped green bell pepper , ? teaspoon garlic powder , 1 teaspoon prepared yellow mustard , ? cup ketchup , 3 teaspoons brown sugar ,   salt to taste 
Quick Tartar Sauce,https://www.allrecipes.com/recipe/183835/quick-tartar-sauce/,side-dish,Tapestry,Uses ingredients you might have on hand to whip up for fish sticks or fish and chips.,4.43,240,189,1 cup mayonnaise , 2 teaspoons sweet pickle relish , 1 teaspoon prepared yellow mustard , 1 teaspoon lemon juice,"Stir the mayonnaise, relish, mustard, and lemon juice together in a bowl.",5 mins,,5 mins
Spaghetti Sauce with Ground Beef,https://www.allrecipes.com/recipe/158140/spaghetti-sauce-with-ground-beef/,side-dish,Hank's Mom,This recipe has been handed down from my mother.  It is a family favorite and will not be replaced! (Definite husband pleaser!),4.67,1319,911,"1 pound ground beef ; 1  onion, chopped ; 4 cloves garlic, minced ; 1 small green bell pepper, diced ; 1 (28 ounce) can diced tomatoes ; 1 (16 ounce) can tomato sauce ; 1 (6 ounce) can tomato paste ; 2 teaspoons dried oregano ; 2 teaspoons dried basil ; 1 teaspoon salt ; ? teaspoon black pepper","Combine ground beef, onion, garlic, and green pepper in a large saucepan.  Cook and stir until meat is brown and vegetables are tender. Drain grease. Stir diced tomatoes, tomato sauce, and tomato paste into the pan. Season with oregano, basil, salt, and pepper. Simmer spaghetti sauce for 1 hour, stirring occasionally.",15 mins,1 hr 10 mins,1 hr 25 mins,8,8 servings,185.1
Slow Cooker Pork Rib Tips,https://www.allrecipes.com/recipe/274865/slow-cooker-pork-rib-tips/,meat-and-poultry,Yoly,"Cooking your rib tips in a slow cooker will give you tender, falling-off-the-bone ribs. Then finish them off under the broiler or throw them on the grill for a few minutes.",4.74,19,12,"2 tablespoons brown sugar ; 1 tablespoon chili powder ; 1 teaspoon salt ; 1 teaspoon ground black pepper ; 1 teaspoon garlic powder ; 1 teaspoon onion powder ; 1 pound pork rip tips ; 1 (18 ounce) bottle BBQ sauce, divided ; 1 tablespoon liquid smoke flavoring","Mix brown sugar, chili powder, salt, pepper, garlic powder, and onion powder in a small bowl. Rub each rib with dry rub mixture until thoroughly coated. Let rest for 10 minutes. Mix BBQ sauce and liquid smoke until well combined. Place ribs in the slow cooker and pour BBQ sauce mixture evenly over ribs. Cook on Low until ribs are tender, 4 to 6 hours. Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Remove ribs from the slow cooker and baste with remaining BBQ sauce. Broil ribs in the preheated oven for 3 to 5 minutes on each side.",10 mins,4 hrs 10 mins,4 hrs 30 mins,4,4 servings,453
Roasted Pork Loin,https://www.allrecipes.com/recipe/21766/roasted-pork-loin/,meat-and-poultry,Kathleen Burton,"Succulent pork roast with fragrant garlic, rosemary and wine.",4.45,1375,1031,"3 cloves garlic, minced ; 1 tablespoon dried rosemary ;   salt and pepper to taste ; 2 pounds boneless pork loin roast ; ? cup olive oil ; ? cup white wine","Preheat oven to 350 degrees F (175 degrees C). Crush garlic with rosemary, salt and pepper, making a paste. Pierce meat with a sharp knife in several places and press the garlic paste into the openings. Rub the meat with the remaining garlic mixture and olive oil. Place pork loin into oven, turning and basting with pan liquids. Cook until the pork is no longer pink in the center, about 1 hour. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C). Remove roast to a platter. Heat the wine in the pan and stir to loosen browned bits of food on the bottom.  Serve with pan juices.",20 mins,1 hr,1 hr 20 mins,8,8 servings,238.1
